""	"original_label"	"label"
"371"	"fBodyAccJerk-maxInds-Y"	"fbodyaccjerkmaxindsy"
"372"	"fBodyAccJerk-maxInds-Z"	"fbodyaccjerkmaxindsz"
"373"	"fBodyAccJerk-meanFreq()-X"	"fbodyaccjerkmeanfreqx"
"374"	"fBodyAccJerk-meanFreq()-Y"	"fbodyaccjerkmeanfreqy"
"375"	"fBodyAccJerk-meanFreq()-Z"	"fbodyaccjerkmeanfreqz"
"376"	"fBodyAccJerk-skewness()-X"	"fbodyaccjerkskewnessx"
"377"	"fBodyAccJerk-kurtosis()-X"	"fbodyaccjerkkurtosisx"
"378"	"fBodyAccJerk-skewness()-Y"	"fbodyaccjerkskewnessy"
"379"	"fBodyAccJerk-kurtosis()-Y"	"fbodyaccjerkkurtosisy"
"380"	"fBodyAccJerk-skewness()-Z"	"fbodyaccjerkskewnessz"
"381"	"fBodyAccJerk-kurtosis()-Z"	"fbodyaccjerkkurtosisz"
"382"	"fBodyAccJerk-bandsEnergy()-1,8"	"fbodyaccjerkbandsenergy"
"383"	"fBodyAccJerk-bandsEnergy()-9,16"	"fbodyaccjerkbandsenergy"
"384"	"fBodyAccJerk-bandsEnergy()-17,24"	"fbodyaccjerkbandsenergy"
"385"	"fBodyAccJerk-bandsEnergy()-25,32"	"fbodyaccjerkbandsenergy"
"386"	"fBodyAccJerk-bandsEnergy()-33,40"	"fbodyaccjerkbandsenergy"
"387"	"fBodyAccJerk-bandsEnergy()-41,48"	"fbodyaccjerkbandsenergy"
"388"	"fBodyAccJerk-bandsEnergy()-49,56"	"fbodyaccjerkbandsenergy"
"389"	"fBodyAccJerk-bandsEnergy()-57,64"	"fbodyaccjerkbandsenergy"
"390"	"fBodyAccJerk-bandsEnergy()-1,16"	"fbodyaccjerkbandsenergy"
"391"	"fBodyAccJerk-bandsEnergy()-17,32"	"fbodyaccjerkbandsenergy"
"392"	"fBodyAccJerk-bandsEnergy()-33,48"	"fbodyaccjerkbandsenergy"
"393"	"fBodyAccJerk-bandsEnergy()-49,64"	"fbodyaccjerkbandsenergy"
"394"	"fBodyAccJerk-bandsEnergy()-1,24"	"fbodyaccjerkbandsenergy"
"395"	"fBodyAccJerk-bandsEnergy()-25,48"	"fbodyaccjerkbandsenergy"
"396"	"fBodyAccJerk-bandsEnergy()-1,8"	"fbodyaccjerkbandsenergy"
"397"	"fBodyAccJerk-bandsEnergy()-9,16"	"fbodyaccjerkbandsenergy"
"398"	"fBodyAccJerk-bandsEnergy()-17,24"	"fbodyaccjerkbandsenergy"
"399"	"fBodyAccJerk-bandsEnergy()-25,32"	"fbodyaccjerkbandsenergy"
"400"	"fBodyAccJerk-bandsEnergy()-33,40"	"fbodyaccjerkbandsenergy"
"401"	"fBodyAccJerk-bandsEnergy()-41,48"	"fbodyaccjerkbandsenergy"
"402"	"fBodyAccJerk-bandsEnergy()-49,56"	"fbodyaccjerkbandsenergy"
"403"	"fBodyAccJerk-bandsEnergy()-57,64"	"fbodyaccjerkbandsenergy"
"404"	"fBodyAccJerk-bandsEnergy()-1,16"	"fbodyaccjerkbandsenergy"
"405"	"fBodyAccJerk-bandsEnergy()-17,32"	"fbodyaccjerkbandsenergy"
"406"	"fBodyAccJerk-bandsEnergy()-33,48"	"fbodyaccjerkbandsenergy"
"407"	"fBodyAccJerk-bandsEnergy()-49,64"	"fbodyaccjerkbandsenergy"
"408"	"fBodyAccJerk-bandsEnergy()-1,24"	"fbodyaccjerkbandsenergy"
"409"	"fBodyAccJerk-bandsEnergy()-25,48"	"fbodyaccjerkbandsenergy"
"410"	"fBodyAccJerk-bandsEnergy()-1,8"	"fbodyaccjerkbandsenergy"
"411"	"fBodyAccJerk-bandsEnergy()-9,16"	"fbodyaccjerkbandsenergy"
"412"	"fBodyAccJerk-bandsEnergy()-17,24"	"fbodyaccjerkbandsenergy"
"413"	"fBodyAccJerk-bandsEnergy()-25,32"	"fbodyaccjerkbandsenergy"
"414"	"fBodyAccJerk-bandsEnergy()-33,40"	"fbodyaccjerkbandsenergy"
"415"	"fBodyAccJerk-bandsEnergy()-41,48"	"fbodyaccjerkbandsenergy"
"416"	"fBodyAccJerk-bandsEnergy()-49,56"	"fbodyaccjerkbandsenergy"
"417"	"fBodyAccJerk-bandsEnergy()-57,64"	"fbodyaccjerkbandsenergy"
"418"	"fBodyAccJerk-bandsEnergy()-1,16"	"fbodyaccjerkbandsenergy"
"419"	"fBodyAccJerk-bandsEnergy()-17,32"	"fbodyaccjerkbandsenergy"
"420"	"fBodyAccJerk-bandsEnergy()-33,48"	"fbodyaccjerkbandsenergy"
"421"	"fBodyAccJerk-bandsEnergy()-49,64"	"fbodyaccjerkbandsenergy"
"422"	"fBodyAccJerk-bandsEnergy()-1,24"	"fbodyaccjerkbandsenergy"
"423"	"fBodyAccJerk-bandsEnergy()-25,48"	"fbodyaccjerkbandsenergy"
"424"	"fBodyGyro-mean()-X"	"fbodygyromeanx"
"425"	"fBodyGyro-mean()-Y"	"fbodygyromeany"
"426"	"fBodyGyro-mean()-Z"	"fbodygyromeanz"
"427"	"fBodyGyro-std()-X"	"fbodygyrostdx"
"428"	"fBodyGyro-std()-Y"	"fbodygyrostdy"
"429"	"fBodyGyro-std()-Z"	"fbodygyrostdz"
"430"	"fBodyGyro-mad()-X"	"fbodygyromadx"
"431"	"fBodyGyro-mad()-Y"	"fbodygyromady"
"432"	"fBodyGyro-mad()-Z"	"fbodygyromadz"
"433"	"fBodyGyro-max()-X"	"fbodygyromaxx"
"434"	"fBodyGyro-max()-Y"	"fbodygyromaxy"
"435"	"fBodyGyro-max()-Z"	"fbodygyromaxz"
"436"	"fBodyGyro-min()-X"	"fbodygyrominx"
"437"	"fBodyGyro-min()-Y"	"fbodygyrominy"
"438"	"fBodyGyro-min()-Z"	"fbodygyrominz"
"439"	"fBodyGyro-sma()"	"fbodygyrosma"
"440"	"fBodyGyro-energy()-X"	"fbodygyroenergyx"
"441"	"fBodyGyro-energy()-Y"	"fbodygyroenergyy"
"442"	"fBodyGyro-energy()-Z"	"fbodygyroenergyz"
"443"	"fBodyGyro-iqr()-X"	"fbodygyroiqrx"
"444"	"fBodyGyro-iqr()-Y"	"fbodygyroiqry"
"445"	"fBodyGyro-iqr()-Z"	"fbodygyroiqrz"
"446"	"fBodyGyro-entropy()-X"	"fbodygyroentropyx"
"447"	"fBodyGyro-entropy()-Y"	"fbodygyroentropyy"
"448"	"fBodyGyro-entropy()-Z"	"fbodygyroentropyz"
"449"	"fBodyGyro-maxInds-X"	"fbodygyromaxindsx"
"450"	"fBodyGyro-maxInds-Y"	"fbodygyromaxindsy"
"451"	"fBodyGyro-maxInds-Z"	"fbodygyromaxindsz"
"452"	"fBodyGyro-meanFreq()-X"	"fbodygyromeanfreqx"
"453"	"fBodyGyro-meanFreq()-Y"	"fbodygyromeanfreqy"
"454"	"fBodyGyro-meanFreq()-Z"	"fbodygyromeanfreqz"
"455"	"fBodyGyro-skewness()-X"	"fbodygyroskewnessx"
"456"	"fBodyGyro-kurtosis()-X"	"fbodygyrokurtosisx"
"457"	"fBodyGyro-skewness()-Y"	"fbodygyroskewnessy"
"458"	"fBodyGyro-kurtosis()-Y"	"fbodygyrokurtosisy"
"459"	"fBodyGyro-skewness()-Z"	"fbodygyroskewnessz"
"460"	"fBodyGyro-kurtosis()-Z"	"fbodygyrokurtosisz"
"461"	"fBodyGyro-bandsEnergy()-1,8"	"fbodygyrobandsenergy"
"462"	"fBodyGyro-bandsEnergy()-9,16"	"fbodygyrobandsenergy"
"463"	"fBodyGyro-bandsEnergy()-17,24"	"fbodygyrobandsenergy"
"464"	"fBodyGyro-bandsEnergy()-25,32"	"fbodygyrobandsenergy"
"465"	"fBodyGyro-bandsEnergy()-33,40"	"fbodygyrobandsenergy"
"466"	"fBodyGyro-bandsEnergy()-41,48"	"fbodygyrobandsenergy"
"467"	"fBodyGyro-bandsEnergy()-49,56"	"fbodygyrobandsenergy"
"468"	"fBodyGyro-bandsEnergy()-57,64"	"fbodygyrobandsenergy"
"469"	"fBodyGyro-bandsEnergy()-1,16"	"fbodygyrobandsenergy"
"470"	"fBodyGyro-bandsEnergy()-17,32"	"fbodygyrobandsenergy"
"471"	"fBodyGyro-bandsEnergy()-33,48"	"fbodygyrobandsenergy"
"472"	"fBodyGyro-bandsEnergy()-49,64"	"fbodygyrobandsenergy"
"473"	"fBodyGyro-bandsEnergy()-1,24"	"fbodygyrobandsenergy"
"474"	"fBodyGyro-bandsEnergy()-25,48"	"fbodygyrobandsenergy"
"475"	"fBodyGyro-bandsEnergy()-1,8"	"fbodygyrobandsenergy"
"476"	"fBodyGyro-bandsEnergy()-9,16"	"fbodygyrobandsenergy"
"477"	"fBodyGyro-bandsEnergy()-17,24"	"fbodygyrobandsenergy"
"478"	"fBodyGyro-bandsEnergy()-25,32"	"fbodygyrobandsenergy"
"479"	"fBodyGyro-bandsEnergy()-33,40"	"fbodygyrobandsenergy"
"480"	"fBodyGyro-bandsEnergy()-41,48"	"fbodygyrobandsenergy"
"481"	"fBodyGyro-bandsEnergy()-49,56"	"fbodygyrobandsenergy"
"482"	"fBodyGyro-bandsEnergy()-57,64"	"fbodygyrobandsenergy"
"483"	"fBodyGyro-bandsEnergy()-1,16"	"fbodygyrobandsenergy"
"484"	"fBodyGyro-bandsEnergy()-17,32"	"fbodygyrobandsenergy"
"485"	"fBodyGyro-bandsEnergy()-33,48"	"fbodygyrobandsenergy"
"486"	"fBodyGyro-bandsEnergy()-49,64"	"fbodygyrobandsenergy"
"487"	"fBodyGyro-bandsEnergy()-1,24"	"fbodygyrobandsenergy"
"488"	"fBodyGyro-bandsEnergy()-25,48"	"fbodygyrobandsenergy"
"489"	"fBodyGyro-bandsEnergy()-1,8"	"fbodygyrobandsenergy"
"490"	"fBodyGyro-bandsEnergy()-9,16"	"fbodygyrobandsenergy"
"491"	"fBodyGyro-bandsEnergy()-17,24"	"fbodygyrobandsenergy"
"492"	"fBodyGyro-bandsEnergy()-25,32"	"fbodygyrobandsenergy"
"493"	"fBodyGyro-bandsEnergy()-33,40"	"fbodygyrobandsenergy"
"494"	"fBodyGyro-bandsEnergy()-41,48"	"fbodygyrobandsenergy"
"495"	"fBodyGyro-bandsEnergy()-49,56"	"fbodygyrobandsenergy"
"496"	"fBodyGyro-bandsEnergy()-57,64"	"fbodygyrobandsenergy"
"497"	"fBodyGyro-bandsEnergy()-1,16"	"fbodygyrobandsenergy"
"498"	"fBodyGyro-bandsEnergy()-17,32"	"fbodygyrobandsenergy"
"499"	"fBodyGyro-bandsEnergy()-33,48"	"fbodygyrobandsenergy"
"500"	"fBodyGyro-bandsEnergy()-49,64"	"fbodygyrobandsenergy"
"501"	"fBodyGyro-bandsEnergy()-1,24"	"fbodygyrobandsenergy"
"502"	"fBodyGyro-bandsEnergy()-25,48"	"fbodygyrobandsenergy"
"503"	"fBodyAccMag-mean()"	"fbodyaccmagmean"
"504"	"fBodyAccMag-std()"	"fbodyaccmagstd"
"505"	"fBodyAccMag-mad()"	"fbodyaccmagmad"
"506"	"fBodyAccMag-max()"	"fbodyaccmagmax"
"507"	"fBodyAccMag-min()"	"fbodyaccmagmin"
"508"	"fBodyAccMag-sma()"	"fbodyaccmagsma"
"509"	"fBodyAccMag-energy()"	"fbodyaccmagenergy"
"510"	"fBodyAccMag-iqr()"	"fbodyaccmagiqr"
"511"	"fBodyAccMag-entropy()"	"fbodyaccmagentropy"
"512"	"fBodyAccMag-maxInds"	"fbodyaccmagmaxinds"
"513"	"fBodyAccMag-meanFreq()"	"fbodyaccmagmeanfreq"
"514"	"fBodyAccMag-skewness()"	"fbodyaccmagskewness"
"515"	"fBodyAccMag-kurtosis()"	"fbodyaccmagkurtosis"
"516"	"fBodyBodyAccJerkMag-mean()"	"fbodybodyaccjerkmagmean"
"517"	"fBodyBodyAccJerkMag-std()"	"fbodybodyaccjerkmagstd"
"518"	"fBodyBodyAccJerkMag-mad()"	"fbodybodyaccjerkmagmad"
"519"	"fBodyBodyAccJerkMag-max()"	"fbodybodyaccjerkmagmax"
"520"	"fBodyBodyAccJerkMag-min()"	"fbodybodyaccjerkmagmin"
"521"	"fBodyBodyAccJerkMag-sma()"	"fbodybodyaccjerkmagsma"
"522"	"fBodyBodyAccJerkMag-energy()"	"fbodybodyaccjerkmagenergy"
"523"	"fBodyBodyAccJerkMag-iqr()"	"fbodybodyaccjerkmagiqr"
"524"	"fBodyBodyAccJerkMag-entropy()"	"fbodybodyaccjerkmagentropy"
"525"	"fBodyBodyAccJerkMag-maxInds"	"fbodybodyaccjerkmagmaxinds"
"526"	"fBodyBodyAccJerkMag-meanFreq()"	"fbodybodyaccjerkmagmeanfreq"
"527"	"fBodyBodyAccJerkMag-skewness()"	"fbodybodyaccjerkmagskewness"
"528"	"fBodyBodyAccJerkMag-kurtosis()"	"fbodybodyaccjerkmagkurtosis"
"529"	"fBodyBodyGyroMag-mean()"	"fbodybodygyromagmean"
"530"	"fBodyBodyGyroMag-std()"	"fbodybodygyromagstd"
"531"	"fBodyBodyGyroMag-mad()"	"fbodybodygyromagmad"
"532"	"fBodyBodyGyroMag-max()"	"fbodybodygyromagmax"
"533"	"fBodyBodyGyroMag-min()"	"fbodybodygyromagmin"
"534"	"fBodyBodyGyroMag-sma()"	"fbodybodygyromagsma"
"535"	"fBodyBodyGyroMag-energy()"	"fbodybodygyromagenergy"
"536"	"fBodyBodyGyroMag-iqr()"	"fbodybodygyromagiqr"
"537"	"fBodyBodyGyroMag-entropy()"	"fbodybodygyromagentropy"
"538"	"fBodyBodyGyroMag-maxInds"	"fbodybodygyromagmaxinds"
"539"	"fBodyBodyGyroMag-meanFreq()"	"fbodybodygyromagmeanfreq"
"540"	"fBodyBodyGyroMag-skewness()"	"fbodybodygyromagskewness"
"541"	"fBodyBodyGyroMag-kurtosis()"	"fbodybodygyromagkurtosis"
"542"	"fBodyBodyGyroJerkMag-mean()"	"fbodybodygyrojerkmagmean"
"543"	"fBodyBodyGyroJerkMag-std()"	"fbodybodygyrojerkmagstd"
"544"	"fBodyBodyGyroJerkMag-mad()"	"fbodybodygyrojerkmagmad"
"545"	"fBodyBodyGyroJerkMag-max()"	"fbodybodygyrojerkmagmax"
"546"	"fBodyBodyGyroJerkMag-min()"	"fbodybodygyrojerkmagmin"
"547"	"fBodyBodyGyroJerkMag-sma()"	"fbodybodygyrojerkmagsma"
"548"	"fBodyBodyGyroJerkMag-energy()"	"fbodybodygyrojerkmagenergy"
"549"	"fBodyBodyGyroJerkMag-iqr()"	"fbodybodygyrojerkmagiqr"
"550"	"fBodyBodyGyroJerkMag-entropy()"	"fbodybodygyrojerkmagentropy"
"551"	"fBodyBodyGyroJerkMag-maxInds"	"fbodybodygyrojerkmagmaxinds"
"552"	"fBodyBodyGyroJerkMag-meanFreq()"	"fbodybodygyrojerkmagmeanfreq"
"553"	"fBodyBodyGyroJerkMag-skewness()"	"fbodybodygyrojerkmagskewness"
"554"	"fBodyBodyGyroJerkMag-kurtosis()"	"fbodybodygyrojerkmagkurtosis"
"555"	"angle(tBodyAccMean,gravity)"	"angletbodyaccmeangravity"
"556"	"angle(tBodyAccJerkMean),gravityMean)"	"angletbodyaccjerkmeangravitymean"
"557"	"angle(tBodyGyroMean,gravityMean)"	"angletbodygyromeangravitymean"
"558"	"angle(tBodyGyroJerkMean,gravityMean)"	"angletbodygyrojerkmeangravitymean"
"559"	"angle(X,gravityMean)"	"anglexgravitymean"
"560"	"angle(Y,gravityMean)"	"angleygravitymean"
"561"	"angle(Z,gravityMean)"	"anglezgravitymean"
